2024-12-13 23:36:25, INFO: Current git head hash code: %s
2024-12-13 23:36:25, INFO: Using device: cuda:0
2024-12-13 23:36:25, INFO: Policy: SARL w/ global state
2024-12-13 23:36:27, INFO: human number: 5
2024-12-13 23:36:27, INFO: Not randomize human's radius and preferred speed
2024-12-13 23:36:27, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-13 23:36:27, INFO: Square width: 10.0, circle width: 4.0
2024-12-13 23:36:27, INFO: Current learning rate: 0.010000
2024-12-13 23:38:09, INFO: TRAIN has success rate: 0.01, collision rate: 0.99, nav time: 12.41, total reward: -0.1452
2024-12-13 23:40:46, INFO: Finish imitation learning. Weights saved.
2024-12-13 23:40:46, INFO: Experience set size: 98076/100000
2024-12-13 23:40:46, INFO: Agent is invisible and has holonomic kinematic constraint
2024-12-13 23:40:46, INFO: Agent is invisible and has holonomic kinematic constraint
2024-12-13 23:40:46, INFO: Current learning rate: 0.001000
2024-12-13 23:55:36, INFO: VAL   in episode 0 has success rate: 0.04, collision rate: 0.90, nav time: 13.50, total reward: -0.0934
2024-12-13 23:55:36, INFO: Frequency of being in danger: 0.06 and average min separate distance in danger: 0.10
2024-12-13 23:55:41, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0239
2024-12-13 23:55:43, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.4385
2024-12-13 23:56:00, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2024-12-13 23:56:04, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0853
2024-12-13 23:56:20, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2024-12-13 23:56:36, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0000
2024-12-13 23:56:43, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0099
2024-12-13 23:56:54, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0006
2024-12-13 23:57:02, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0045
