2024-12-22 19:34:53, INFO: Current git head hash code: %s
2024-12-22 19:34:53, INFO: Using device: cuda:0
2024-12-22 19:34:53, INFO: Policy: SARL w/ global state
2024-12-22 19:34:55, INFO: robot number: 8
2024-12-22 19:34:55, INFO: human number: 5
2024-12-22 19:34:55, INFO: Not randomize human's radius and preferred speed
2024-12-22 19:34:55, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-22 19:34:55, INFO: Square width: 10.0, circle width: 4.0
2024-12-22 19:34:55, INFO: Current learning rate: 0.010000
2024-12-22 20:07:57, INFO: Current git head hash code: %s
2024-12-22 20:07:57, INFO: Using device: cuda:0
2024-12-22 20:07:57, INFO: Policy: SARL w/ global state
2024-12-22 20:07:59, INFO: robot number: 8
2024-12-22 20:07:59, INFO: human number: 5
2024-12-22 20:07:59, INFO: Not randomize human's radius and preferred speed
2024-12-22 20:07:59, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-22 20:07:59, INFO: Square width: 10.0, circle width: 4.0
2024-12-22 20:07:59, INFO: Load reinforcement learning trained weights. Resume training
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Current learning rate: 0.001000
2024-12-22 21:12:42, INFO: TRAIN in episode 31 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:12:54, INFO: TRAIN in episode 32 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:13:24, INFO: TRAIN in episode 33 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:13:33, INFO: TRAIN in episode 34 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0009
2024-12-22 21:13:45, INFO: TRAIN in episode 35 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:14:15, INFO: TRAIN in episode 36 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:14:39, INFO: TRAIN in episode 37 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:14:54, INFO: TRAIN in episode 38 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:15:01, INFO: TRAIN in episode 39 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:15:27, INFO: TRAIN in episode 40 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:15:37, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0003
2024-12-22 21:15:44, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:15:58, INFO: TRAIN in episode 43 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:16:15, INFO: TRAIN in episode 44 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:16:24, INFO: TRAIN in episode 45 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:16:52, INFO: TRAIN in episode 46 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:17:05, INFO: TRAIN in episode 47 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:17:15, INFO: TRAIN in episode 48 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:17:25, INFO: TRAIN in episode 49 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:17:31, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:17:51, INFO: TRAIN in episode 51 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:18:22, INFO: TRAIN in episode 52 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:18:26, INFO: TRAIN in episode 53 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0243
2024-12-22 21:19:03, INFO: TRAIN in episode 54 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:19:09, INFO: TRAIN in episode 55 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:19:18, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
