2025-03-21 18:22:59, INFO: Current git head hash code: %s
2025-03-21 18:23:00, INFO: Using device: cuda:0
2025-03-21 18:23:04, INFO: robot number: 8
2025-03-21 18:23:04, INFO: human number: 5
2025-03-21 18:23:04, INFO: Not randomize human's radius and preferred speed
2025-03-21 18:23:41, INFO: Episode 400/10000, reward so far: -5.0000
2025-03-21 18:23:41, INFO: Episode 405/10000, reward so far: -5.0000
2025-03-21 18:23:41, INFO: Episode 410/10000, reward so far: -5.0000
2025-03-21 18:23:42, INFO: Episode 415/10000, reward so far: -5.0000
2025-03-21 18:23:42, INFO: Episode 420/10000, reward so far: -5.0000
2025-03-21 18:23:43, INFO: Episode 425/10000, reward so far: -5.0000
2025-03-21 18:23:43, INFO: Episode 430/10000, reward so far: -5.0000
2025-03-21 18:23:44, INFO: Episode 435/10000, reward so far: -5.0000
2025-03-21 18:23:44, INFO: Episode 440/10000, reward so far: -5.0000
2025-03-21 18:23:45, INFO: Episode 445/10000, reward so far: -5.0000
2025-03-21 18:23:45, INFO: Episode 450/10000, reward so far: -5.0000
2025-03-21 18:23:46, INFO: Episode 455/10000, reward so far: -5.0000
2025-03-21 18:23:46, INFO: Episode 460/10000, reward so far: -5.0000
2025-03-21 18:23:46, INFO: Episode 465/10000, reward so far: -5.0000
2025-03-21 18:23:47, INFO: Episode 470/10000, reward so far: -5.0000
2025-03-21 18:23:47, INFO: Episode 475/10000, reward so far: -5.0000
2025-03-21 18:23:48, INFO: Episode 480/10000, reward so far: -5.0000
2025-03-21 18:23:48, INFO: Episode 485/10000, reward so far: -5.0000
2025-03-21 18:23:49, INFO: Episode 490/10000, reward so far: -5.0000
2025-03-21 18:23:49, INFO: Episode 495/10000, reward so far: -5.0000
2025-03-21 18:23:50, INFO: Episode 500/10000, reward so far: -5.0000
2025-03-21 18:23:50, INFO: Episode 505/10000, reward so far: -5.0000
2025-03-21 18:23:51, INFO: Episode 510/10000, reward so far: -5.0000
2025-03-21 18:23:51, INFO: Episode 515/10000, reward so far: -5.0000
2025-03-21 18:23:51, INFO: Episode 520/10000, reward so far: -5.0000
2025-03-21 18:23:52, INFO: Episode 525/10000, reward so far: -5.0000
2025-03-21 18:23:52, INFO: Episode 530/10000, reward so far: -5.0000
2025-03-21 18:23:52, INFO: Episode 535/10000, reward so far: -5.0000
2025-03-21 18:23:53, INFO: Episode 540/10000, reward so far: -5.0000
2025-03-21 18:23:53, INFO: Episode 545/10000, reward so far: -5.0000
2025-03-21 18:23:54, INFO: Episode 550/10000, reward so far: -5.0000
2025-03-21 18:23:55, INFO: Episode 555/10000, reward so far: -5.0000
2025-03-21 18:23:55, INFO: Episode 560/10000, reward so far: -5.0000
2025-03-21 18:23:55, INFO: Episode 565/10000, reward so far: -5.0000
2025-03-21 18:23:56, INFO: Episode 570/10000, reward so far: -5.0000
2025-03-21 18:23:56, INFO: Episode 575/10000, reward so far: -5.0000
2025-03-21 18:23:57, INFO: Episode 580/10000, reward so far: -5.0000
2025-03-21 18:23:57, INFO: Episode 585/10000, reward so far: -5.0000
2025-03-21 18:23:58, INFO: Episode 590/10000, reward so far: -5.0000
2025-03-21 18:23:58, INFO: Episode 595/10000, reward so far: -5.0000
2025-03-21 18:23:58, INFO: Episode 600/10000, reward so far: -5.0000
2025-03-21 18:23:59, INFO: Episode 605/10000, reward so far: -5.0000
2025-03-21 18:23:59, INFO: Episode 610/10000, reward so far: -5.0000
2025-03-21 18:24:00, INFO: Episode 615/10000, reward so far: -5.0000
2025-03-21 18:24:00, INFO: Episode 620/10000, reward so far: -5.0000
2025-03-21 18:24:01, INFO: Episode 625/10000, reward so far: -5.0000
2025-03-21 18:24:01, INFO: Episode 630/10000, reward so far: -5.0000
2025-03-21 18:24:01, INFO: Episode 635/10000, reward so far: -5.0000
2025-03-21 18:24:02, INFO: Episode 640/10000, reward so far: -5.0000
2025-03-21 18:24:02, INFO: Episode 645/10000, reward so far: -5.0000
2025-03-21 18:24:03, INFO: Episode 650/10000, reward so far: -5.0000
2025-03-21 18:24:03, INFO: Episode 655/10000, reward so far: -5.0000
2025-03-21 18:24:04, INFO: Episode 660/10000, reward so far: -5.0000
2025-03-21 18:24:04, INFO: Episode 665/10000, reward so far: -5.0000
2025-03-21 18:24:04, INFO: Episode 670/10000, reward so far: -5.0000
2025-03-21 18:24:05, INFO: Episode 675/10000, reward so far: -5.0000
2025-03-21 18:24:05, INFO: Episode 680/10000, reward so far: -5.0000
2025-03-21 18:24:06, INFO: Episode 685/10000, reward so far: -5.0000
2025-03-21 18:24:06, INFO: Episode 690/10000, reward so far: -5.0000
2025-03-21 18:24:07, INFO: Episode 695/10000, reward so far: -5.0000
2025-03-21 18:24:07, INFO: Episode 700/10000, reward so far: -5.0000
2025-03-21 18:24:07, INFO: Episode 705/10000, reward so far: -5.0000
2025-03-21 18:24:08, INFO: Episode 710/10000, reward so far: -5.0000
2025-03-21 18:24:08, INFO: Episode 715/10000, reward so far: -5.0000
2025-03-21 18:24:09, INFO: Episode 720/10000, reward so far: -5.0000
2025-03-21 18:24:09, INFO: Episode 725/10000, reward so far: -5.0000
2025-03-21 18:24:09, INFO: Episode 730/10000, reward so far: -5.0000
2025-03-21 18:24:10, INFO: Episode 735/10000, reward so far: -5.0000
2025-03-21 18:24:10, INFO: Episode 740/10000, reward so far: -5.0000
2025-03-21 18:24:11, INFO: Episode 745/10000, reward so far: -5.0000
2025-03-21 18:24:11, INFO: Episode 750/10000, reward so far: -5.0000
2025-03-21 18:24:11, INFO: Episode 755/10000, reward so far: -5.0000
2025-03-21 18:24:12, INFO: Episode 760/10000, reward so far: -5.0000
2025-03-21 18:24:12, INFO: Episode 765/10000, reward so far: -5.0000
2025-03-21 18:24:13, INFO: Episode 770/10000, reward so far: -5.0000
2025-03-21 18:24:13, INFO: Episode 775/10000, reward so far: -5.0000
2025-03-21 18:24:14, INFO: Episode 780/10000, reward so far: -5.0000
2025-03-21 18:24:14, INFO: Episode 785/10000, reward so far: -5.0000
2025-03-21 18:24:15, INFO: Episode 790/10000, reward so far: -5.0000
2025-03-21 18:24:15, INFO: Episode 795/10000, reward so far: -5.0000
2025-03-21 18:24:16, INFO: Episode 800/10000, reward so far: -5.0000
2025-03-21 18:24:16, INFO: Episode 805/10000, reward so far: -5.0000
2025-03-21 18:24:17, INFO: Episode 810/10000, reward so far: -5.0000
2025-03-21 18:24:17, INFO: Episode 815/10000, reward so far: -5.0000
2025-03-21 18:24:17, INFO: Episode 820/10000, reward so far: -5.0000
2025-03-21 18:24:18, INFO: Episode 825/10000, reward so far: -5.0000
2025-03-21 18:24:18, INFO: Episode 830/10000, reward so far: -5.0000
2025-03-21 18:24:19, INFO: Episode 835/10000, reward so far: -5.0000
2025-03-21 18:24:19, INFO: Episode 840/10000, reward so far: -5.0000
2025-03-21 18:24:20, INFO: Episode 845/10000, reward so far: -5.0000
